claim_id,status,placement,claim,safe_wording,evidence
CMT-01,PRIMARY,Main text,"Descriptor eligibility is target-specific, and P1/P2/P3 form nested information stages with target-dependent feature counts.",Feature eligibility was defined separately for each target using the expert dependency graph and rule-based compiler.,Stage A feature manifest and dependency/compiler audits
CMT-02,PRIMARY,Main text,"Voltage, gravimetric/volumetric capacity, and gravimetric/volumetric energy already satisfy the frozen useful-skill criterion at P1 under fixed ExtraTrees.","Under framework-formula-grouped validation with the fixed ExtraTrees estimator, these five targets first demonstrated useful predictive skill at the composition stage.",Stage C earliest-stage and skill bootstrap outputs
CMT-03,PRIMARY,Main text,The marginal value of P2 and P3 is target-specific rather than uniformly monotonic.,"Relaxed-structure and legitimate post-DFT information provided unequal marginal gains across targets; some transitions improved error, whereas others provided little additional benefit or degraded one metric.",Stage C incremental information value bootstrap
CMT-04,PRIMARY_CAUTIOUS,Main text,Useful predictive skill for maximum volume change was not demonstrated through P3 in the primary analysis.,The evaluated fixed ExtraTrees models did not satisfy the pre-specified useful-learnability criterion for maximum volume change through P3 under framework-formula-grouped validation.,Stage C earliest-stage and bootstrap outputs
CMT-05,PRIMARY_QUALIFIED,Main text + SI sensitivity,"The primary ExtraTrees earliest stages for charged, discharged, and worst stability are P2, P3, and P2, respectively, but these assignments are less robust than those for voltage/capacity/energy.","For the fixed primary ExtraTrees estimator, stability targets first satisfied the useful-skill criterion at later stages; the exact assignments were sensitive to estimator choice, threshold, and coarse chemistry-family shift.","Stages C, D, and E"
CMT-06,SUPPORTING,Main text compact robustness panel; full detail in SI,Net P1-to-P3 error reduction is broadly preserved under the three chemical-domain stress tests.,"At the macro point-estimate level, P3 reduced both MAE and RMSE relative to P1 in 26 of 27 target-by-domain comparisons; this is descriptive robustness evidence rather than an inferential stage classification.",Stage D stage-transition summary
CMT-07,SUPPORTING_CAUTIOUS,Main text discussion + SI,Coarse-chemistry-family-held-out validation is the strongest stress test for the stability targets and maximum volume change.,"Under coarse-chemistry-family-held-out validation, the three stability targets did not satisfy the 10% macro point criterion through P3, and maximum volume change also remained below the criterion.",Stage D primary-stage robustness
CMT-08,SENSITIVITY,SI; mention in main discussion,Ridge reproduces the exact earliest-stage classification for 6 of 9 targets; all disagreements are stability targets.,A fixed linear Ridge sensitivity analysis agreed with the primary ExtraTrees earliest-stage assignment for six targets; the three stability assignments were estimator-dependent.,Stage E estimator comparison
CMT-09,SENSITIVITY,SI,"The 5%, 10%, and 20% useful-skill thresholds leave the non-stability target assignments unchanged, while the stability assignments vary.",Threshold sensitivity affected the stability-stage assignments but not the five voltage/capacity/energy targets or the maximum-volume-change classification.,Stage C threshold sensitivity
CMT-10,CONTROL,SI,"P0 and P4 are controls, not the central scientific comparison.",P0 provides a permissive full-information baseline and P4 is an artificial direct-target positive-control stress test.,Frozen study design and existing control analyses
CMT-11,CONTROL,SI,Leakage-by-domain interaction is supporting robustness evidence only.,The leakage-by-domain interaction is retained as a supporting analysis and does not define the CMT paper.,Existing Notebook 06 outputs and frozen study design
