target,feature,feature_origin,expert_leakage_level,expert_leakage_reason,expert_allowed_P0,expert_allowed_P1,expert_allowed_P2,expert_allowed_P3,expert_allowed_P4,workflow_stage,compiler_leakage_level,compiler_leakage_reason,rule_id,dependency_path,compiler_allowed_P0,compiler_allowed_P1,compiler_allowed_P2,compiler_allowed_P3,compiler_allowed_P4,_merge,class_agreement,P0_agreement,P1_agreement,P2_agreement,P3_agreement,P4_agreement,all_protocols_agree,false_safe,compiler_more_conservative
average_voltage,average_voltage,stored_electrode_target,L1,direct duplicate of the target column,False,False,False,False,True,stored_electrode_record,L1,The feature is the exact target column.,RULE_DIRECT_TARGET,feature::average_voltage -> target::average_voltage,False,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,capacity_grav,stored_electrode_target,L4,other stored electrode target/property; post hoc computed-record descriptor,True,False,False,False,True,stored_electrode_record,L4,A different stored electrode property is available only as a post-hoc computed-record descriptor.,RULE_OTHER_STORED_TARGET,feature::capacity_grav -> concept::stored_electrode_record -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,capacity_vol,stored_electrode_target,L4,other stored electrode target/property; post hoc computed-record descriptor,True,False,False,False,True,stored_electrode_record,L4,A different stored electrode property is available only as a post-hoc computed-record descriptor.,RULE_OTHER_STORED_TARGET,feature::capacity_vol -> concept::stored_electrode_record -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_X_max,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_max -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_X_mean,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_mean -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_X_min,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_min -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_X_range,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_range -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_X_std,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_std -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_Z_max,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_max -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_Z_mean,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_mean -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
