manual_candidate_id,shortlist_priority_rank,battery_formula,formula_discharge,framework_formula,coarse_family,chemical_system_uid,query_type,query_priority,query_priority_tier,search_platform,search_query,search_url,query_note,manual_check_required,recommended_action,normalized_search_query
Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,Na2VF5 sodium ion battery cathode,https://scholar.google.com/scholar?q=Na2VF5+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,na2vf5 sodium ion battery cathode
Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,_exact_formula_electrode,2,A_try_first,Google Scholar,Na2VF5 electrode cathode,https://scholar.google.com/scholar?q=Na2VF5+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,na2vf5 electrode cathode
Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,quoted_literature_formula,3,B_try_second,Google Scholar,"""Na2VF5"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22Na2VF5%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""na2vf5"" sodium ion battery cathode"
Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxVF5 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxVF5+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxvf5 sodium ion battery cathode
Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,_framework_formula,5,B_try_second,Google Scholar,VF5 sodium ion battery cathode,https://scholar.google.com/scholar?q=VF5+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,vf5 sodium ion battery cathode
Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,material_phrase_fluoride,6,C_broad_fallback,Google Scholar,vanadium fluoride sodium ion battery cathode,https://scholar.google.com/scholar?q=vanadium+fluoride+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,vanadium fluoride sodium ion battery cathode
Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,broad_family_fluoride,7,C_broad_fallback,Google Scholar,transition metal fluoride sodium ion battery cathode,https://scholar.google.com/scholar?q=transition+metal+fluoride+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,transition metal fluoride sodium ion battery cathode
Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,NaCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaCoO2+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,nacoo2 sodium ion battery cathode
Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_electrode,2,A_try_first,Google Scholar,NaCoO2 electrode cathode,https://scholar.google.com/scholar?q=NaCoO2+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,nacoo2 electrode cathode
Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,quoted_literature_formula,3,B_try_second,Google Scholar,"""NaCoO2"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22NaCoO2%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""nacoo2"" sodium ion battery cathode"
Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCoO2+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxcoo2 sodium ion battery cathode
Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_framework_formula,5,B_try_second,Google Scholar,CoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=CoO2+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,coo2 sodium ion battery cathode
Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,material_phrase_oxide,6,C_broad_fallback,Google Scholar,sodium cobalt oxide cathode,https://scholar.google.com/scholar?q=sodium+cobalt+oxide+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium cobalt oxide cathode
Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,broad_family_oxide,8,C_broad_fallback,Google Scholar,layered transition metal oxide sodium ion battery cathode,https://scholar.google.com/scholar?q=layered+transition+metal+oxide+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,layered transition metal oxide sodium ion battery cathode
Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,NaCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaCoO2+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,nacoo2 sodium ion battery cathode
