target,target_unit,feature,feature_origin,leakage_level,leakage_reason,p3_explicit_forbidden,p2_forbidden_keyword,allowed_P0,allowed_P1,allowed_P2,allowed_P3,allowed_P4
average_voltage,V,average_voltage,stored_electrode_target,L1,direct duplicate of the target column,False,False,False,False,False,False,True
average_voltage,V,capacity_grav,stored_electrode_target,L4,other stored electrode target/property; post hoc computed-record descriptor,False,False,True,False,False,False,True
average_voltage,V,capacity_vol,stored_electrode_target,L4,other stored electrode target/property; post hoc computed-record descriptor,False,False,True,False,False,False,True
average_voltage,V,energy_grav,stored_electrode_target,L2,energy combines voltage with capacity,False,False,True,False,False,False,True
average_voltage,V,energy_vol,stored_electrode_target,L2,energy combines voltage with capacity,False,False,True,False,False,False,True
average_voltage,V,max_delta_volume,stored_electrode_target,L4,other stored electrode target/property; post hoc computed-record descriptor,False,False,True,False,False,False,True
average_voltage,V,stability_charge,stored_electrode_target,L4,other stored electrode target/property; post hoc computed-record descriptor,False,False,True,False,False,False,True
average_voltage,V,stability_discharge,stored_electrode_target,L4,other stored electrode target/property; post hoc computed-record descriptor,False,False,True,False,False,False,True
average_voltage,V,fracA_charge,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,False,False,True,False,False,False,True
average_voltage,V,fracA_discharge,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,False,False,True,False,False,False,True
average_voltage,V,num_steps,stored_electrode_process_descriptor,L0,no direct target relationship identified by  rule-based audit,False,False,True,False,False,True,True
average_voltage,V,max_voltage_step,stored_electrode_process_descriptor,L4,stored voltage-window descriptor adjacent to voltage target,False,False,True,False,False,True,True
average_voltage,V,stability_worst,stored_electrode_target,L4,other stored electrode target/property; post hoc computed-record descriptor,False,False,True,False,False,False,True
average_voltage,V,fw_parse_ok,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_n_elements,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_n_atoms,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Li,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Na,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_K,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_O,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_F,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_P,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_S,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Si,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_C,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_N,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_B,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Cl,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Br,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_I,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Mn,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Fe,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Co,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Ni,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Cu,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_V,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Ti,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Cr,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Al,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Mg,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Ca,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Zn,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_Ag,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_frac_As,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_Z_mean,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
average_voltage,V,fw_Z_min,composition_known_framework,L0,no direct target relationship identified by  rule-based audit,False,False,True,True,True,True,True
