target,target_unit,is_primary_benchmark_target,feature,feature_origin,workflow_stage,leakage_level,leakage_reason,rule_id,dependency_path,allowed_P0,allowed_P1,allowed_P2,allowed_P3,allowed_P4
average_voltage,V,True,average_voltage,stored_electrode_target,stored_electrode_record,L1,The feature is the exact target column.,RULE_DIRECT_TARGET,feature::average_voltage -> target::average_voltage,False,False,False,False,True
average_voltage,V,True,capacity_grav,stored_electrode_target,stored_electrode_record,L4,A different stored electrode property is available only as a post-hoc computed-record descriptor.,RULE_OTHER_STORED_TARGET,feature::capacity_grav -> concept::stored_electrode_record -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,capacity_vol,stored_electrode_target,stored_electrode_record,L4,A different stored electrode property is available only as a post-hoc computed-record descriptor.,RULE_OTHER_STORED_TARGET,feature::capacity_vol -> concept::stored_electrode_record -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_X_max,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_max -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_X_mean,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_mean -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_X_min,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_min -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_X_range,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_range -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_X_std,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_X_std -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_Z_max,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_max -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_Z_mean,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_mean -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_Z_min,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_min -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_Z_range,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_range -> target::average_voltage,True,False,False,False,True
average_voltage,V,True,charge_formula_Z_std,stoichiometric_window,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_std -> target::average_voltage,True,False,False,False,True
