node_id,node_type,label,description,unit,primary_benchmark,feature_origin,workflow_stage
concept::energy_definition,concept,energy_definition,Energy is linked to voltage and capacity.,,,,
concept::capacity_energy_relation,concept,capacity_energy_relation,Capacity and energy variants are mathematically coupled.,,,,
concept::stability_aggregation,concept,stability_aggregation,Worst-case stability is derived from endpoint stability values.,,,,
concept::working_ion_transfer,concept,working_ion_transfer,Transferred working-ion stoichiometry controls theoretical capacity scale.,,,,
concept::insertion_energy_difference,concept,insertion_energy_difference,Endpoint energy differences define insertion voltage/energy trends.,,,,
concept::hull_stability,concept,hull_stability,Endpoint hull quantities define stability targets.,,,,
concept::volume_change_definition,concept,volume_change_definition,Endpoint volume/density changes define volume-change quantities.,,,,
concept::post_dft_record,concept,post_dft_record,Descriptor is generated from the same post-DFT record.,,,,
concept::post_dft_thermodynamics,concept,post_dft_thermodynamics,Thermodynamic summary is available after DFT.,,,,
concept::stored_electrode_record,concept,stored_electrode_record,Stored electrode-property context is post hoc.,,,,
concept::validation_domain,concept,validation_domain,Domain membership must be controlled by split design.,,,,
concept::voltage_window,concept,voltage_window,Stored voltage-window descriptor is adjacent to average voltage.,,,,
target::average_voltage,target,average_voltage,,V,True,,
target::capacity_grav,target,capacity_grav,,mAh/g,True,,
target::capacity_vol,target,capacity_vol,,mAh/cm3,False,,
target::energy_grav,target,energy_grav,,Wh/kg,True,,
target::energy_vol,target,energy_vol,,Wh/L_or_Wh/dm3_database_dependent,False,,
target::max_delta_volume,target,max_delta_volume,,fraction_or_database_convention,True,,
target::stability_charge,target,stability_charge,,eV/atom,False,,
target::stability_discharge,target,stability_discharge,,eV/atom,False,,
target::stability_worst,target,stability_worst,,eV/atom,True,,
feature::fw_X_max,feature,fw_X_max,,,,composition_known_framework,pre_dft_composition
feature::fw_X_mean,feature,fw_X_mean,,,,composition_known_framework,pre_dft_composition
feature::fw_X_min,feature,fw_X_min,,,,composition_known_framework,pre_dft_composition
feature::fw_X_range,feature,fw_X_range,,,,composition_known_framework,pre_dft_composition
feature::fw_X_std,feature,fw_X_std,,,,composition_known_framework,pre_dft_composition
feature::fw_Z_max,feature,fw_Z_max,,,,composition_known_framework,pre_dft_composition
feature::fw_Z_mean,feature,fw_Z_mean,,,,composition_known_framework,pre_dft_composition
feature::fw_Z_min,feature,fw_Z_min,,,,composition_known_framework,pre_dft_composition
feature::fw_Z_range,feature,fw_Z_range,,,,composition_known_framework,pre_dft_composition
feature::fw_Z_std,feature,fw_Z_std,,,,composition_known_framework,pre_dft_composition
feature::fw_atomic_mass_max,feature,fw_atomic_mass_max,,,,composition_known_framework,pre_dft_composition
feature::fw_atomic_mass_mean,feature,fw_atomic_mass_mean,,,,composition_known_framework,pre_dft_composition
feature::fw_atomic_mass_min,feature,fw_atomic_mass_min,,,,composition_known_framework,pre_dft_composition
feature::fw_atomic_mass_range,feature,fw_atomic_mass_range,,,,composition_known_framework,pre_dft_composition
