manual_candidate_id,shortlist_priority_rank,battery_formula,formula_discharge,framework_formula,coarse_family,n_queries_generated,n_checked_rows,best_annotation_status,best_analogue_level,best_relevance_score_0_to_3,best_citation_title,best_url,safe_interpretation
Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,7,1,exact_or_near_exact_formula,exact_formula,2,Machine Learning Screening of Metal-ion Battery Electrode Materials,https://pubs.acs.org/doi/10.1021/acsami.1c04627,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Exact Na2VF5/VF5 pair appears in a computational ML/DFT+U electrode-screening study. This is exact formula-level computational evidence only, not experimental validation; interpretation should be second-checked before treating it as positive support."
Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,7,1,exact_or_near_exact_formula,exact_formula,3,Sol-gel-based synthesis of high-capacity-NaCoO2 cathode for advanced sodium-ion batteries,https://www.sciencedirect.com/science/article/abs/pii/S0013468624014373,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Paper reports experimental synthesis and electrochemical testing of phase-pure P2-NaCoO2 as a sodium-ion battery cathode. The reported NaCoO2 formula directly matches the discharged formula of the Na0-1CoO2 candidate, and the study reports discharge capacity and energy-density values. This is exact formula-level experimental cathode evidence, but it should still not be treated as validation of the specific Materials Project computed record."
Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,7,1,exact_or_near_exact_formula,exact_formula,3,Sol-gel-based synthesis of high-capacity-NaCoO2 cathode for advanced sodium-ion batteries,https://www.sciencedirect.com/science/article/abs/pii/S0013468624014373,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Paper reports experimental synthesis and electrochemical testing of phase-pure P2-NaCoO2 as a sodium-ion battery cathode. The reported NaCoO2 formula directly matches the discharged formula of the Na0-1CoO2 candidate, and the study reports discharge capacity and energy-density values. This is exact formula-level experimental cathode evidence, but it should still not be treated as validation of the specific Materials Project computed record."
Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,7,2,same_framework_analogue,same_framework,2,"Monoclinic Phase Na3Fe2(PO4)3: Synthesis, Structure, and Electrochemical Performance as Cathode Material in Sodium-Ion Batteries",https://pubs.acs.org/doi/abs/10.1021/acssuschemeng.6b01536,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Paper reports experimental synthesis, structural characterization, and sodium-ion half-cell testing of monoclinic Na3Fe2(PO4)3 as a cathode material for sodium-ion batteries. The material shares the Fe2(PO4)3 sodium iron phosphate framework with the Na0-4Fe2(PO4)3 candidate, and ex-situ XRD indicates partial transformation into Na4Fe2(PO4)3 during sodium-ion insertion. Because the main reported starting cathode is Na3Fe2(PO4)3 rather than exact Na4Fe2(PO4)3, this is treated as strong same-framework sodium iron phosphate cathode evidence, not exact formula validation of the Materials Project ca"
Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,7,1,exact_or_near_exact_formula,exact_formula,2,"First principle evaluations on perovskite-type sodium trifluorides, NaMF3 (M= V, Mn, Fe, Co, Ni, and Cu), as electrode materials for Na-ion batteries",https://www.sciencedirect.com/science/article/abs/pii/S2352507X24001380,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Paper reports DFT/first-principles evaluation of perovskite-type NaMF3 sodium trifluorides, including exact NaMnF3, as candidate electrode materials for Na-ion batteries. It evaluates structural stability, Na diffusion channels, voltage/electrochemical properties, and electronic properties. This is exact formula-level computational evidence for the NaMnF3 candidate, but it is not experimental cathode validation and should not be treated as validation of the specific Materials Project computed record"
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,10,2,exact_or_near_exact_formula,exact_formula,3,Cathode Properties of Na3MPO4CO3 (M = Co/Ni) Prepared by a Hydrothermal Method for Na-ion Batteries,https://api.lib.kyushu-u.ac.jp/opac_download_md/2547345/Pages_262-266.pdf,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental Na-ion battery cathode paper on Na3MPO4CO3 with M = Co/Ni. The work reports hydrothermal synthesis of Na3CoPO4CO3 and evaluation of cathode properties in Na-ion batteries. This is direct exact-formula experimental evidence for the Candidate 6 carbonophosphate family, but it is not validation of the specific Materials Project computed record or triage rank"
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,8,1,exact_or_near_exact_formula,exact_formula,3,Defect-Controlled Formation of Triclinic Na2CoP2O7 for 4 V Sodium-Ion Batteries ,https://onlinelibrary.wiley.com/doi/full/10.1002/anie.201601022,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental sodium-ion battery cathode paper on triclinic Na2CoP2O7. This is useful cobalt phosphate/pyrophosphate-family cathode evidence, but it is not Na3CoPO4CO3 and not a carbonophosphate framework. Therefore it is only same-family same-transition-metal background and not validation of the Candidate 6 formula or Materials Project triage rank"
Na_candidate_08,8,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,polyanion_phosphate_like,8,1,exact_or_near_exact_formula,exact_formula,3,Synthesis of carbon-coated Na2MnPO4F hollow spheres as a potential cathode material for Na-ion batteries,https://www.sciencedirect.com/science/article/abs/pii/S037877531731488X,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental sodium-ion cathode paper on exact Na2MnPO4F/C. The study reports synthesis of carbon-coated Na2MnPO4F hollow spheres by spray drying and in-situ carbon coating, with improved electrochemical performance and clear charge/discharge plateaus around 3.6 V at room temperature. This is direct exact-formula experimental literature evidence for Candidate 8, but it is not validation of the specific Materials Project computed record or triage rank."
Na_candidate_09,9,Na0-2FeCSO7,Na2FeCSO7,FeCSO7,sulfate_or_sulfur_oxoanion_like,10,5,general_background_only,background_only,1,"Recent Advances in Sodium Iron Sulfate Cathodes for Sodium-Ion Batteries: Crystal Structure, Synthesis, and Performance",https://doi.org/10.1002/cssc.202500694,Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Google Scholar search for Na2Fe(CO3)(SO4) sodium-ion battery cathode did not return an exact carbonate-sulfate formula match. The best visible result is a sodium iron sulfate cathode review/background source. This is useful only as sodium iron sulfate-family background and not evidence for the exact Na2Fe(CO3)(SO4) Candidate 9 formula or Materials Project triage rank
Na_candidate_10,10,Na1-3FePCO7,Na3FePCO7,FePCO7,polyanion_phosphate_like,10,1,exact_or_near_exact_formula,exact_formula,3,Cathode Properties of Na3FePO4CO3 Prepared by the Mechanical Ball Milling Method for Na-ion Batteries,https://doi.org/10.1038/s41598-020-60183-3,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental sodium-ion cathode paper on exact Na3FePO4CO3 carbonophosphate. The study reports mechanical ball-milling synthesis and Na-ion battery cathode testing of Na3FePO4CO3. This is direct exact-formula experimental literature evidence for Candidate 10, but it is not validation of the specific Materials Project computed record or triage rank"
